Name,Country,Subnational_Level,Company,Rock_type,Status,USGS_Company,USGS_Year,Comment
Gantour,Morocco,Marrakesh-Safi Region,OCP S.A.,sedimentary,operational,"Office Chérifien des Phosphates (OCP) (Government, 100%)",2019,
Meskala,Morocco,Marrakesh-Safi Region,OCP S.A.,sedimentary,operational,"Office Chérifien des Phosphates (OCP) (Government, 100%)",2019,
Boucraa,Morocco,Western Sahara - Laâyoune-Sakia El Hamra Region,OCP S.A.,sedimentary,operational,"Phosphates de Bou Craa S.A. [Office Chérifien des Phosphates (OCP), 100%]",2019,
Lao Cai,Vietnam,Lào Cai Province,Vietnam Apatite Phosphorus Company,sedimentary,operational,"Vietnam Apatite One Member Co. Ltd. (VINAAPACO) [Vietnam National Chemical Corp. (VNCC), 100%]",2019,
Eastern Mines,Syria,Homs Governorate,General Company for Phosphate and Mines (GECOPHAM),sedimentary,operational,"General Company for Phosphate and Mines (GECOPHAM) (Government, 100%)",2019,Eastern A mine and Eastern B mine
Khneifiss,Syria,Homs Governorate,General Company for Phosphate and Mines (GECOPHAM),sedimentary,operational,"General Company for Phosphate and Mines (GECOPHAM) (Government, 100%)",2019,
Chilisai,Kazakhstan,Aktobe Region,Temir Service LLP,sedimentary,operational,Temir Service LLP (Sunkar Resources plc),2019,
Karatau-EuroChem,Kazakhstan,Jambyl Region,Mineral and Chemical Company Eurochem,sedimentary,operational,NA,NA,"Kok-Jon, Gimmelfarbskoe, Geres deposits"
Karatau-Kazphosphate,Kazakhstan,Jambyl Region,Kazphosphate LLC ,sedimentary,operational,Karatau mining and processing complex (Kazphosphate LLC),2019,"Kok-Su, Kok-John, and Zhanatas deposits"
Karatau-Chulaktau,Kazakhstan,Jambyl Region,Kazphosphate LLC ,sedimentary,operational,Chulaktau mining and processing complex (Kazphosphate LLC),2019,"Sholaktau, Aksai and Shiilibulak deposits in Talas district"
Farim-Saliquinhe,Guinea-Bissau,Oio Region,Itafos Inc.,sedimentary,operational,NA,NA,
Haikou,China,Yunnan Province,Yunnan Phosphate Haikou (YPH),sedimentary,operational,Yunnan Phosphate Chemical Group Co. Ltd.,2019,
Salitre,Brazil,Minas Gerais State,Mineral and Chemical Company Eurochem,igneous,operational,NA,NA,
